frame_idx,rotation_matrix_err_deg,trans_err_norm_m,reproj_err_mean_px,num_inliers,radius_gt,polar_gt_deg,azimuth_gt_deg
321,6.5843,0.09307,1.66975,7,10.4815,134.0337,-35.6983
318,6.3203,0.09172,1.18905,7,10.4568,134.2369,-32.9331
323,5.8652,0.05434,1.72845,8,10.4893,133.9261,-37.5459
297,5.5206,0.06981,2.4525,10,9.9567,136.7955,-12.2901
313,4.9811,0.0535,2.46335,6,10.3841,134.6811,-28.2921
325,4.6796,0.12131,2.70215,9,10.49,133.8414,-39.4044
38,4.2131,0.0606,1.6655000000000002,10,9.7567,137.1978,-39.9978
164,3.7701,0.0351,1.98245,11,9.2969,126.3159,143.7005
174,3.6131,0.03525,1.2748,10,9.493,125.6807,136.4221
312,3.5557,0.05562,1.55365,7,10.3652,134.7847,-27.3528
300,3.5513,0.06967,1.4175,8,10.0526,136.3413,-15.4936
322,3.5288,0.04001,1.8264,8,10.4863,133.9771,-36.6212
45,3.5043,0.05939,1.2127,10,9.544,137.4709,-38.2844
315,3.48,0.05817,1.0249,7,10.4176,134.4882,-30.1576
41,3.439,0.05106,1.02485,10,9.6822,137.2041,-39.1427
39,3.3888,0.07063,1.3940000000000001,10,9.7347,137.1815,-39.6912
316,3.3824,0.10247,1.85985,6,10.4322,134.3992,-31.0851
310,3.3468,0.0817,2.0651,9,10.3236,135.0059,-25.4577
293,3.2673,0.06308,1.0039,11,9.8234,137.4176,-7.8246
314,3.2401,0.07821,1.89155,7,10.4015,134.5822,-29.2268
